,,,,,,,,,,,,resumptionToken,,
Number,Workload,,,,,Workload,Corpus,Index,Throughput,Time,,10,100,1000
1,w1,0.859,,,w1,100,0.53,0.39,116,0.86,,90,0,0
2,w2,0.855,,,w2,200,0.97,0.55,234,0.86,,190,100,0
3,w3,1.138,,,w3,400,2.00,1.10,351,1.14,,390,300,0
4,w4,1.322,,,w4,800,3.90,1.90,605,1.32,,790,700,0
5,w5,2.142,,,w5,1600,7.60,3.50,747,2.14,,1590,1500,1000
6,w6,3.129,,,w6,3200,15.00,6.40,1023,3.13,,3190,3100,3000
7,w7,5.331,,,w7,6400,30.00,12.00,1201,5.33,,6390,6300,6000
8,w8,10.607,,,w8,12800,60.00,24.00,1207,10.61,,12790,12700,12000
9,w9,17.992,,,w9,25600,118.00,46.00,1423,17.99,,25590,25500,25000
10,w10,35.658,,,w10,51200,236.00,91.00,1436,35.66,,51190,51100,51000
11,w11,70.357,,,w11,102400,471.00,179.00,1455,70.36,,102390,102300,102000
12,w12,148.22,,,w12,204800,942.00,348.00,1382,148.22,,204790,204700,204000
13,w13,3618.62,,,w13,409600,1945.60,962.00,113,3618.62,,409590,409500,409000
14,w14,8337.749,,,w14,819200,3788.80,1433.60,98,8337.75,,819190,819100,819000
15,w15,19968.947,,,w15,1638400,7577.60,2662.40,82,19968.95,,1638390,1638300,1638000
