w1,1,status : 0 , QTime : 41 ,
w1,2,status : 0 , QTime : 6 ,
w1,3,status : 0 , QTime : 5 ,
w1,4,status : 0 , QTime : 6 ,
w1,5,status : 0 , QTime : 5 ,
w2,1,status : 0 , QTime : 47 ,
w2,2,status : 0 , QTime : 4 ,
w2,3,status : 0 , QTime : 4 ,
w2,4,status : 0 , QTime : 4 ,
w2,5,status : 0 , QTime : 4 ,
w3,1,status : 0 , QTime : 11 ,
w3,2,status : 0 , QTime : 9 ,
w3,3,status : 0 , QTime : 17 ,
w3,4,status : 0 , QTime : 9 ,
w3,5,status : 0 , QTime : 14 ,
w4,1,status : 0 , QTime : 71 ,
w4,2,status : 0 , QTime : 5 ,
w4,3,status : 0 , QTime : 5 ,
w4,4,status : 0 , QTime : 5 ,
w4,5,status : 0 , QTime : 5 ,
w5,1,status : 0 , QTime : 71 ,
w5,2,status : 0 , QTime : 6 ,
w5,3,status : 0 , QTime : 6 ,
w5,4,status : 0 , QTime : 6 ,
w5,5,status : 0 , QTime : 12 ,
w6,1,status : 0 , QTime : 121 ,
w6,2,status : 0 , QTime : 7 ,
w6,3,status : 0 , QTime : 11 ,
w6,4,status : 0 , QTime : 11 ,
w6,5,status : 0 , QTime : 7 ,
w7,1,status : 0 , QTime : 103 ,
w7,2,status : 0 , QTime : 7 ,
w7,3,status : 0 , QTime : 6 ,
w7,4,status : 0 , QTime : 7 ,
w7,5,status : 0 , QTime : 6 ,
w8,1,status : 0 , QTime : 162 ,
w8,2,status : 0 , QTime : 13 ,
w8,3,status : 0 , QTime : 11 ,
w8,4,status : 0 , QTime : 11 ,
w8,5,status : 0 , QTime : 12 ,
w9,1,status : 0 , QTime : 270 ,
w9,2,status : 0 , QTime : 31 ,
w9,3,status : 0 , QTime : 29 ,
w9,4,status : 0 , QTime : 31 ,
w9,5,status : 0 , QTime : 29 ,
w10,1,status : 0 , QTime : 260 ,
w10,2,status : 0 , QTime : 11 ,
w10,3,status : 0 , QTime : 12 ,
w10,4,status : 0 , QTime : 12 ,
w10,5,status : 0 , QTime : 13 ,
w11,1,status : 0 , QTime : 331 ,
w11,2,status : 0 , QTime : 16 ,
w11,3,status : 0 , QTime : 15 ,
w11,4,status : 0 , QTime : 17 ,
w11,5,status : 0 , QTime : 15 ,
w12,1,status : 0 , QTime : 397 ,
w12,2,status : 0 , QTime : 34 ,
w12,3,status : 0 , QTime : 24 ,
w12,4,status : 0 , QTime : 25 ,
w12,5,status : 0 , QTime : 24 ,
